Date, Revenue , Transactions 
5/25/2017," 11,354.77 ", 73.00 
5/26/2017," 10,682.95 ", 63.00 
5/27/2017," 5,132.46 ", 32.00 
5/28/2017," 1,838.89 ", 18.00 
5/29/2017," 7,419.61 ", 47.00 
5/30/2017," 16,758.25 ", 82.00 
5/31/2017," 23,509.33 ", 117.00 
6/1/2017," 9,667.17 ", 68.00 
6/2/2017," 13,030.72 ", 78.00 
6/3/2017," 6,233.46 ", 40.00 
6/4/2017," 6,676.96 ", 43.00 
6/5/2017," 14,639.82 ", 88.00 
6/6/2017," 10,116.56 ", 63.00 
6/7/2017," 9,807.98 ", 72.00 
6/8/2017," 12,042.59 ", 69.00 
6/9/2017," 11,355.74 ", 67.00 
6/10/2017," 4,527.52 ", 32.00 
6/11/2017," 8,753.86 ", 66.00 
6/12/2017," 22,462.77 ", 110.00 
6/13/2017," 16,163.82 ", 97.00 
6/14/2017," 17,109.11 ", 83.00 
6/15/2017," 10,239.30 ", 60.00 
6/16/2017," 13,369.10 ", 73.00 
6/17/2017," 8,039.96 ", 39.00 
6/18/2017," 8,634.26 ", 54.00 
6/19/2017," 22,904.36 ", 100.00 
6/20/2017," 10,355.43 ", 66.00 
6/21/2017," 18,985.69 ", 81.00 
6/22/2017," 14,663.99 ", 84.00 
6/23/2017," 11,633.52 ", 74.00 
6/24/2017," 5,456.86 ", 33.00 
6/25/2017," 4,643.79 ", 40.00 
6/26/2017," 15,265.29 ", 93.00 
6/27/2017," 13,878.07 ", 81.00 
6/28/2017," 18,433.27 ", 72.00 
6/29/2017," 13,455.58 ", 83.00 
6/30/2017," 11,736.96 ", 69.00 
7/1/2017," 4,861.15 ", 14.00 
7/2/2017," 6,000.62 ", 32.00 
7/3/2017," 7,596.91 ", 47.00 
7/4/2017," 6,520.24 ", 39.00 
7/5/2017," 19,178.65 ", 91.00 
7/6/2017," 13,341.10 ", 79.00 
7/7/2017," 14,170.50 ", 87.00 
7/8/2017," 5,988.93 ", 43.00 
7/9/2017," 6,058.73 ", 48.00 
7/10/2017," 17,561.81 ", 92.00 
7/11/2017," 15,684.83 ", 90.00 
7/12/2017," 11,255.41 ", 88.00 
7/13/2017," 27,513.57 ", 104.00 
7/14/2017," 13,488.13 ", 88.00 
7/15/2017," 7,939.04 ", 38.00 
7/16/2017," 7,336.93 ", 60.00 
7/17/2017," 15,005.07 ", 105.00 
7/18/2017," 41,552.13 ", 98.00 
7/19/2017," 16,161.03 ", 97.00 
7/20/2017," 15,758.65 ", 84.00 
7/21/2017," 9,240.19 ", 70.00 
7/22/2017," 7,303.76 ", 38.00 
7/23/2017," 10,248.04 ", 53.00 
7/24/2017," 17,060.95 ", 88.00 
7/25/2017," 16,201.72 ", 82.00 
7/26/2017," 9,560.23 ", 66.00 
7/27/2017," 12,143.96 ", 92.00 
7/28/2017," 13,180.97 ", 80.00 
7/29/2017," 3,804.04 ", 39.00 
7/30/2017," 8,737.43 ", 50.00 
7/31/2017," 21,847.06 ", 117.00 
8/1/2017," 19,205.32 ", 101.00 
8/2/2017," 45,951.44 ", 100.00 
8/3/2017," 11,696.72 ", 90.00 
8/4/2017," 16,230.91 ", 88.00 
8/5/2017," 7,145.11 ", 46.00 
8/6/2017," 6,315.40 ", 50.00 
8/7/2017," 16,185.64 ", 91.00 
8/8/2017," 16,882.23 ", 92.00 
8/9/2017," 14,789.40 ", 88.00 
8/10/2017," 13,948.54 ", 92.00 
8/11/2017," 15,302.17 ", 121.00 
8/12/2017," 7,822.14 ", 38.00 
8/13/2017," 5,742.24 ", 51.00 
8/14/2017," 19,344.67 ", 101.00 
8/15/2017," 11,947.51 ", 83.00 
8/16/2017," 16,497.76 ", 105.00 
8/17/2017," 11,673.48 ", 78.00 
8/18/2017," 13,337.43 ", 96.00 
8/19/2017," 9,055.27 ", 46.00 
8/20/2017," 2,877.38 ", 20.00 
8/21/2017," 12,655.97 ", 80.00 
8/22/2017," 15,871.57 ", 106.00 
8/23/2017," 25,505.48 ", 90.00 
8/24/2017," 9,830.66 ", 100.00 
8/25/2017," 12,495.71 ", 92.00 
8/26/2017," 5,415.08 ", 46.00 
8/27/2017," 9,894.52 ", 58.00 
8/28/2017," 12,238.13 ", 78.00 
8/29/2017," 15,037.42 ", 98.00 
8/30/2017," 15,237.92 ", 84.00 
8/31/2017," 15,968.08 ", 99.00 
9/1/2017," 18,253.10 ", 61.00 
9/2/2017," 4,519.44 ", 33.00 
9/3/2017," 5,491.20 ", 35.00 
9/4/2017," 7,966.64 ", 49.00 
9/5/2017," 11,204.61 ", 91.00 
9/6/2017," 13,892.14 ", 86.00 
9/7/2017," 15,598.08 ", 81.00 
9/8/2017," 5,747.30 ", 55.00 
9/9/2017," 8,289.30 ", 46.00 
9/10/2017," 7,307.95 ", 29.00 
9/11/2017," 15,153.61 ", 90.00 
9/12/2017," 15,485.76 ", 84.00 
9/13/2017," 25,396.02 ", 75.00 
9/14/2017," 9,371.30 ", 57.00 
9/15/2017," 14,107.33 ", 64.00 
9/16/2017," 6,324.00 ", 41.00 
9/17/2017," 5,192.50 ", 34.00 
9/18/2017," 12,767.94 ", 82.00 
